R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Brendan Allen,Kyle Daukaus,-305,235,Red,FALSE,Middleweight,U-DEC,,3,900
Gian Villante,Maurice Greene,180,-230,Blue,FALSE,Heavyweight,SUB,Arm Triangle,3,824
Luis Pena,Khama Worthy,-250,195,Blue,FALSE,Lightweight,SUB,Guillotine Choke,3,773
Mara Romero Borella,Miranda Maverick,230,-305,Red,FALSE,Women's Flyweight,,,,
Philipe Lins,Tanner Boser,-112,-112,Blue,FALSE,Heavyweight,KO/TKO,Punches,1,161
Sean Woodson,Julian Erosa,-455,325,Blue,FALSE,Catch Weight,SUB,D'Arce Choke,3,764
Takashi Sato,Jason Witt,-278,215,Red,FALSE,Welterweight,KO/TKO,Punches,1,48
Kay Hansen,Jinh Yu Frey,-175,138,Red,FALSE,Women's Strawweight,SUB,Armbar,3,746
Jordan Griffin,Youssef Zalal,-106,-114,Blue,FALSE,Featherweight,U-DEC,,3,900
Curtis Blaydes,Alexander Volkov,-400,325,Red,FALSE,Heavyweight,U-DEC,,5,1500
Josh Emmett,Shane Burgos,120,-140,Red,FALSE,Featherweight,U-DEC,,3,900
Raquel Pennington,Marion Reneau,-160,140,Red,FALSE,Women's Bantamweight,U-DEC,,3,900
Belal Muhammad,Lyman Good,-130,110,Red,FALSE,Welterweight,U-DEC,,3,900
Jim Miller,Roosevelt Roberts,200,-240,Red,FALSE,Catch Weight,SUB,Armbar,1,145
Clay Guida,Bobby Green,195,-235,Blue,FALSE,Lightweight,U-DEC,,3,900
Tecia Torres,Brianna Van Buren,175,-210,Red,FALSE,Women's Strawweight,U-DEC,,3,900
Marc-Andre Barriault,Oskar Piechota,100,-120,Red,FALSE,Middleweight,KO/TKO,Punches,2,590
Cortney Casey,Gillian Robertson,100,-120,Blue,FALSE,Women's Flyweight,SUB,Rear Naked Choke,3,876
Frank Camacho,Justin Jaynes,-340,280,Blue,FALSE,Lightweight,KO/TKO,Punches,1,41
